Model,Train_Acc,Val_Acc,Precision,Recall,F1_Score,ROC_AUC
Gradient_Boosting,0.9861624788255223,0.9714673913043478,0.9693237488555565,0.9714673913043478,0.9698024168418092,0.9977131270962586
XGBoost,0.9821499153020892,0.9712450592885375,0.9688768738180155,0.9712450592885375,0.968714833547567,0.9980098524662925
Decision_Tree,0.9899350649350649,0.9500741106719368,0.9511272921551076,0.9500741106719368,0.9505852692559982,0.9533268890749719
Random_Forest,0.9842179559570864,0.9476037549407115,0.9405214264315402,0.9476037549407115,0.9279845304278393,0.9949381254890999
Logistic_Regression,0.9370482778091473,0.9378705533596838,0.9232329209391062,0.9378705533596838,0.9233317183824653,0.9880077506468743
